id;begin;end;lesson_type;driver_id;destination_id;pickup_id;manual_lesson;teacher_id;bookable
1;2020-02-10T20:00:00;2020-02-10T21:30:00;NIGHT;1;3;3;false;1;true
2;2020-02-10T09:15:00;2020-02-10T10:45:00;NORMAL;2;3;3;false;1;true
3;2020-02-11T13:00:00;2020-02-11T14:30:00;NORMAL;1;2;2;false;1;true
4;2020-02-11T14:45:00;2020-02-11T16:15:00;AUTOBAHN;2;3;3;false;1;true
5;2020-02-12T09:15:00;2020-02-12T10:45:00;NORMAL;2;3;3;false;1;true
6;2020-02-12T13:00:00;2020-02-12T14:30:00;NORMAL;1;2;2;false;1;true
7;2020-02-13T14:45:00;2020-02-13T16:15:00;AUTOBAHN;1;2;2;false;1;true
8;2020-02-13T16:30:00;2020-02-13T18:00:00;AUTOBAHN;2;3;3;false;1;true
9;2020-02-14T09:15:00;2020-02-14T10:45:00;NORMAL;1;2;2;false;1;true
10;2020-02-14T20:00:00;2020-02-14T21:30:00;NIGHT;2;3;3;false;1;true
11;2020-02-17T20:00:00;2020-02-17T21:30:00;NIGHT;;;;false;1;true
12;2020-02-18T20:00:00;2020-02-18T21:30:00;NIGHT;;;;false;1;true
13;2020-01-18T20:00:00;2020-01-18T21:30:00;NIGHT;1;;;false;1;true
